"","tipo","carro","tempo","link_yt","data_publicacao","duracao_video_min","views","likes","dislikes","url_thumbnail","data_captura"
"181","Originais","Toyota Etios XLS Platinum",75.745,"https://www.youtube.com/watch?v=6hI7F8S27Gc","11/01/2016",0.25,1280871,25735,492,"https://i.ytimg.com/vi/6hI7F8S27Gc/maxresdefault.jpg","29/08/2020"
"182","Originais","Kia Cerato",75.817,"https://www.youtube.com/watch?v=hjjmf6Bv_eM","25/09/2017",0.25,455718,18841,239,"https://i.ytimg.com/vi/hjjmf6Bv_eM/maxresdefault.jpg","29/08/2020"
"183","Originais","Chevrolet S10 SS 1995",75.862,"https://www.youtube.com/watch?v=qbOSzsXTbpI","13/08/2018",0.38,220375,22639,94,"https://i.ytimg.com/vi/qbOSzsXTbpI/maxresdefault.jpg","29/08/2020"
"184","Originais","Fiat Stilo Abarth 2003",75.914,"https://www.youtube.com/watch?v=vn-iZSUGsfE","28/11/2016",0.25,1235988,45045,545,"https://i.ytimg.com/vi/vn-iZSUGsfE/maxresdefault.jpg","29/08/2020"
"185","Originais","VW Fox Pepper",75.95,"https://www.youtube.com/watch?v=RJfbKj_Dp_I","13/07/2015",0.25,220951,5005,49,"https://i.ytimg.com/vi/RJfbKj_Dp_I/maxresdefault.jpg","29/08/2020"
"186","Originais","Honda Civic EXR",75.971,"https://www.youtube.com/watch?v=rZp7VvbdT-E","30/11/2015",0.25,1167978,20218,476,"https://i.ytimg.com/vi/rZp7VvbdT-E/maxresdefault.jpg","29/08/2020"
"187","Originais","Nissan March 1.6 CVT",76.063,"https://www.youtube.com/watch?v=gBXaMCmRyhA","3/04/2017",0.25,149660,6899,108,"https://i.ytimg.com/vi/gBXaMCmRyhA/maxresdefault.jpg","29/08/2020"
"188","Originais","HB20 Turbo (gasolina)",76.19,"https://www.youtube.com/watch?v=-y6Z1No4aeQ","2/05/2016",8.73,469018,12393,151,"https://i.ytimg.com/vi/-y6Z1No4aeQ/maxresdefault.jpg","29/08/2020"
"189","Originais","Hyundai i30",76.192,"https://www.youtube.com/watch?v=38LAWAZ7myw","6/06/2016",0.25,425819,12439,105,"https://i.ytimg.com/vi/38LAWAZ7myw/maxresdefault.jpg","29/08/2020"
"190","Originais","Renault Duster Oroch",76.198,"https://www.youtube.com/watch?v=Ee6J73Vk0_k","18/04/2016",0.25,1710167,32403,1968,"https://i.ytimg.com/vi/Ee6J73Vk0_k/maxresdefault.jpg","29/08/2020"
"191","Originais","Honda Civic VTi ’95",76.255,"https://www.youtube.com/watch?v=2S3RCOV-7Xw","13/02/2015",0.25,245492,5787,52,"https://i.ytimg.com/vi/2S3RCOV-7Xw/maxresdefault.jpg","29/08/2020"
"192","Originais","Ford Fiesta Sport",76.263,"https://www.youtube.com/watch?v=6hI7F8S27Gc","11/01/2016",0.25,1280871,25735,492,"https://i.ytimg.com/vi/6hI7F8S27Gc/maxresdefault.jpg","29/08/2020"
"193","Originais","HB20S Turbo (gasolina)",76.319,"https://www.youtube.com/watch?v=-y6Z1No4aeQ","2/05/2016",8.73,469018,12393,151,"https://i.ytimg.com/vi/-y6Z1No4aeQ/maxresdefault.jpg","29/08/2020"
"194","Originais","Fiat Palio Sporting",76.533,"https://www.youtube.com/watch?v=bjW01V8W4z4","31/08/2015",0.25,754640,13846,236,"https://i.ytimg.com/vi/bjW01V8W4z4/maxresdefault.jpg","29/08/2020"
"195","Originais","Fiat Idea Sporting",76.572,"https://www.youtube.com/watch?v=3nWyVYE3eYE","16/04/2018",0.25,85124,8438,183,"https://i.ytimg.com/vi/3nWyVYE3eYE/maxresdefault.jpg","29/08/2020"
"196","Originais","Fiat Uno Turbo ’94",76.597,"https://www.youtube.com/watch?v=yIo_od5GLHc","1/10/2015",0.25,1283439,23116,534,"https://i.ytimg.com/vi/yIo_od5GLHc/maxresdefault.jpg","29/08/2020"
"197","Originais","Toyota Yaris 1.5 XLS",76.637,"https://www.youtube.com/watch?v=ycrvRoB1vtc","22/10/2018",0.25,302986,14185,108,"https://i.ytimg.com/vi/ycrvRoB1vtc/maxresdefault.jpg","29/08/2020"
"198","Originais","Jeep Renegade Diesel",76.651,"https://www.youtube.com/watch?v=wYQNolIumxk","15/02/2016",0.25,910516,18811,378,"https://i.ytimg.com/vi/wYQNolIumxk/maxresdefault.jpg","29/08/2020"
"199","Originais","Dodge Dart 74",76.734,"https://www.youtube.com/watch?v=CCa78pUNeL0","23/09/2014",0.25,478739,10436,80,"https://i.ytimg.com/vi/CCa78pUNeL0/maxresdefault.jpg","29/08/2020"
"200","Originais","Citroën C2 VTS 2006",76.753,"https://www.youtube.com/watch?v=oOhLeLigsT8","3/12/2018",0.25,109108,10628,97,"https://i.ytimg.com/vi/oOhLeLigsT8/maxresdefault.jpg","29/08/2020"
"201","Originais","Fiat Tipo Sedicivalvole 1995",76.813,"https://www.youtube.com/watch?v=vn-iZSUGsfE","28/11/2016",0.25,1235988,45045,545,"https://i.ytimg.com/vi/vn-iZSUGsfE/maxresdefault.jpg","29/08/2020"
"202","Originais","Fiat Argo Trekking",76.873,"https://www.youtube.com/watch?v=92pt9EBIZUk","14/10/2019",0.25,143671,12617,94,"https://i.ytimg.com/vi/92pt9EBIZUk/maxresdefault.jpg","29/08/2020"
"203","Originais","Astra GSi 2003",77.027,"https://www.youtube.com/watch?v=I1Ar_8hk5GM","22/02/2016",15.05,1060932,28284,350,"https://i.ytimg.com/vi/I1Ar_8hk5GM/maxresdefault.jpg","29/08/2020"
"204","Originais","Ford Fusion Hybrid",77.136,"https://www.youtube.com/watch?v=Bfr4qNTQ8jY","21/11/2016",0.25,770224,22374,405,"https://i.ytimg.com/vi/Bfr4qNTQ8jY/maxresdefault.jpg","29/08/2020"
"205","Originais","Ford Fiesta Titanium",77.238,"https://www.youtube.com/watch?v=PmePEDyYvCs","1/02/2015",0.25,250683,5149,60,"https://i.ytimg.com/vi/PmePEDyYvCs/maxresdefault.jpg","29/08/2020"
"206","Originais","Nissan Sentra SL",77.257,"https://www.youtube.com/watch?v=rZp7VvbdT-E","30/11/2015",0.25,1167978,20218,476,"https://i.ytimg.com/vi/rZp7VvbdT-E/maxresdefault.jpg","29/08/2020"
"207","Originais","Chevrolet Cruze LTZ 1.8",77.289,"https://www.youtube.com/watch?v=38LAWAZ7myw","6/06/2016",0.25,425819,12439,105,"https://i.ytimg.com/vi/38LAWAZ7myw/maxresdefault.jpg","29/08/2020"
"208","Originais","Fiat Cronos 1.3",77.402,"https://www.youtube.com/watch?v=Nd5WahBpv50","19/03/2018",0.1,92037,8902,324,"https://i.ytimg.com/vi/Nd5WahBpv50/maxresdefault.jpg","29/08/2020"
"209","Originais","Chevrolet Kadett GSi",77.688,"https://www.youtube.com/watch?v=IUeld01jKI0","7/10/2014",0.25,1316882,24268,408,"https://i.ytimg.com/vi/IUeld01jKI0/maxresdefault.jpg","29/08/2020"
"210","Originais","Nissan Kicks 1.6",77.758,"https://www.youtube.com/watch?v=5wg5EXp7GeI","13/03/2017",1.08,279722,10508,260,"https://i.ytimg.com/vi/5wg5EXp7GeI/maxresdefault.jpg","29/08/2020"
"211","Originais","Chevrolet Corsa GSi ’95",77.78,"https://www.youtube.com/watch?v=yIo_od5GLHc","1/10/2015",0.25,1283439,23116,534,"https://i.ytimg.com/vi/yIo_od5GLHc/maxresdefault.jpg","29/08/2020"
"212","Originais","Chevrolet Camaro RS ’67",78.207,"https://www.youtube.com/watch?v=1hLJlVhH5rI","9/12/2014",0.25,205110,5593,26,"https://i.ytimg.com/vi/1hLJlVhH5rI/maxresdefault.jpg","29/08/2020"
"213","Originais","Ford EcoSport 1.6 Powershift",78.383,"https://www.youtube.com/watch?v=wYQNolIumxk","15/02/2016",0.25,910517,18811,378,"https://i.ytimg.com/vi/wYQNolIumxk/maxresdefault.jpg","29/08/2020"
"214","Originais","Jac J5",78.441,"https://www.youtube.com/watch?v=GDF6vxhP4X4","23/03/2015",0.1,115938,3566,40,"https://i.ytimg.com/vi/GDF6vxhP4X4/maxresdefault.jpg","29/08/2020"
"215","Originais","Ford Ranger Limited",78.572,"https://www.youtube.com/watch?v=lAWrlvQofkw","30/09/2019",0.25,539475,33110,312,"https://i.ytimg.com/vi/lAWrlvQofkw/maxresdefault.jpg","29/08/2020"
"216","Originais","Peugeot 208 1.2",78.874,"https://www.youtube.com/watch?v=1XGTNOvGMHA","10/04/2017",0.25,634399,18849,428,"https://i.ytimg.com/vi/1XGTNOvGMHA/maxresdefault.jpg","29/08/2020"
"217","Originais","Ford Escort XR3",78.934,"https://www.youtube.com/watch?v=IUeld01jKI0","7/10/2014",0.25,1316882,24268,408,"https://i.ytimg.com/vi/IUeld01jKI0/maxresdefault.jpg","29/08/2020"
"218","Originais","Renault Kwid Outsider",78.878,"https://www.youtube.com/watch?v=92pt9EBIZUk","14/10/2019",0.25,143671,12617,94,"https://i.ytimg.com/vi/92pt9EBIZUk/maxresdefault.jpg","29/08/2020"
"219","Originais","Renault Duster Iconic",79.005,"https://www.youtube.com/watch?v=7XWG-XWZJb4","10/08/2020",0.25,152063,9219,561,"https://i.ytimg.com/vi/7XWG-XWZJb4/hqdefault.jpg","29/08/2020"
"220","Originais","Fiat Mobi Drive",79.007,"https://www.youtube.com/watch?v=1XGTNOvGMHA","10/04/2017",0.25,634399,18849,428,"https://i.ytimg.com/vi/1XGTNOvGMHA/maxresdefault.jpg","29/08/2020"
"221","Originais","Fiat Uno Sporting",79.2,"https://www.youtube.com/watch?v=9ubKelYVDuw","18/05/2015",0.25,252121,5749,95,"https://i.ytimg.com/vi/9ubKelYVDuw/maxresdefault.jpg","29/08/2020"
"222","Originais","VW Golf GTI 1994 do Gerson",79.387,"https://www.youtube.com/watch?v=iZRqqXHu_3E","7/05/2018",0.25,314842,21973,161,"https://i.ytimg.com/vi/iZRqqXHu_3E/maxresdefault.jpg","29/08/2020"
"223","Originais","Chevrolet Onix Effect",79.476,"https://www.youtube.com/watch?v=bjW01V8W4z4","31/08/2015",0.25,754640,13846,236,"https://i.ytimg.com/vi/bjW01V8W4z4/maxresdefault.jpg","29/08/2020"
"224","Originais","Dodge Charger R/T 1975",79.841,"https://www.youtube.com/watch?v=f0YAvm52b8o","6/07/2015",0.25,165332,35148,762,"https://i.ytimg.com/vi/f0YAvm52b8o/maxresdefault.jpg","29/08/2020"
"225","Originais","Ford Ka Freestyle 1.0",79.066,"https://www.youtube.com/watch?v=92pt9EBIZUk","14/10/2019",0.25,143671,12617,94,"https://i.ytimg.com/vi/92pt9EBIZUk/maxresdefault.jpg","29/08/2020"
"226","Originais","VW New Beetle 2008",80.007,"https://www.youtube.com/watch?v=WESah27pphU","28/12/2015",0.25,1610045,41569,711,"https://i.ytimg.com/vi/WESah27pphU/maxresdefault.jpg","29/08/2020"
"227","Originais","Renault Captur 2.0 Intense",80.133,"https://www.youtube.com/watch?v=5wg5EXp7GeI","13/03/2017",1.28,279722,10508,260,"https://i.ytimg.com/vi/5wg5EXp7GeI/maxresdefault.jpg","29/08/2020"
"228","Originais","Nissan Versa 1.0 (etanol)",80.183,"https://www.youtube.com/watch?v=ZGrh6PwUBQE","24/08/2015",0.25,228822,7684,118,"https://i.ytimg.com/vi/ZGrh6PwUBQE/maxresdefault.jpg","29/08/2020"
"229","Originais","Lincoln Town Car 1995",80.223,"https://www.youtube.com/watch?v=5Phcf6bY9I0","8/05/2017",0.1,405765,28109,187,"https://i.ytimg.com/vi/5Phcf6bY9I0/maxresdefault.jpg","29/08/2020"
"230","Originais","Chevrolet Montana Sport",80.255,"https://www.youtube.com/watch?v=Ee6J73Vk0_k","18/04/2016",0.25,1710168,32403,1968,"https://i.ytimg.com/vi/Ee6J73Vk0_k/maxresdefault.jpg","29/08/2020"
"231","Originais","Hyundai HB20 1.0",80.721,"https://www.youtube.com/watch?v=1XGTNOvGMHA","10/04/2017",0.25,634399,18849,428,"https://i.ytimg.com/vi/1XGTNOvGMHA/maxresdefault.jpg","29/08/2020"
"232","Originais","Nissan Versa 1.0 (gasolina)",80.806,"https://www.youtube.com/watch?v=ZGrh6PwUBQE","24/08/2015",0.25,228822,7684,118,"https://i.ytimg.com/vi/ZGrh6PwUBQE/maxresdefault.jpg","29/08/2020"
"233","Originais","Volkswagen Santana Sport 1993",80.901,"https://www.youtube.com/watch?v=FxZYJ5Xrnxc","11/07/2016",0.25,1378385,37249,710,"https://i.ytimg.com/vi/FxZYJ5Xrnxc/maxresdefault.jpg","29/08/2020"
"234","Originais","VW Passat TS do Papa Cortes",81.067,"https://www.youtube.com/watch?v=8uTCsrjEVec","29/04/2019",0.25,158617,16865,118,"https://i.ytimg.com/vi/8uTCsrjEVec/maxresdefault.jpg","29/08/2020"
"235","Originais","Ford Maverick GT 1974",81.167,"https://www.youtube.com/watch?v=CMQKr54yb8c","18/12/2017",0.25,281047,23887,132,"https://i.ytimg.com/vi/CMQKr54yb8c/maxresdefault.jpg","29/08/2020"
"236","Originais","Fiat Toro Volcano",83.132,"https://www.youtube.com/watch?v=Ee6J73Vk0_k","18/04/2016",0.25,1710168,32403,1968,"https://i.ytimg.com/vi/Ee6J73Vk0_k/maxresdefault.jpg","29/08/2020"
"237","Originais","Mini Cooper Italian Job 1969",85.091,"https://www.youtube.com/watch?v=bPkfmdyNXsU","16/01/2017",0.25,928398,36061,315,"https://i.ytimg.com/vi/bPkfmdyNXsU/maxresdefault.jpg","29/08/2020"
"238","Originais","VW Fusca Itamar",89.223,"https://www.youtube.com/watch?v=WESah27pphU","28/12/2015",0.25,1610045,41570,711,"https://i.ytimg.com/vi/WESah27pphU/maxresdefault.jpg","29/08/2020"
"239","Originais","Volkswagen Fusca Herbie 1968",95.562,"https://www.youtube.com/watch?v=bPkfmdyNXsU","16/01/2017",0.25,928398,36061,315,"https://i.ytimg.com/vi/bPkfmdyNXsU/maxresdefault.jpg","29/08/2020"
"240","Preparados","Porsche 911 GT3 R",51.863,"https://www.youtube.com/watch?v=OSSC3KMd0x0","11/06/2018",0.2,794845,64501,240,"https://i.ytimg.com/vi/OSSC3KMd0x0/maxresdefault.jpg","29/08/2020"
