"carro","tempo","link_yt","data_publicacao","duracao_video_min","views","likes","dislikes","url_thumbnail","data_captura"
"BMW 320i Stage 2 by Stradale",66.517,"https://www.youtube.com/watch?v=dBxTeaxkf90","8/04/2019",0.2,163007,16427,79,"https://i.ytimg.com/vi/dBxTeaxkf90/maxresdefault.jpg","29/08/2020"
"Honda Civic Si Stage 1 by Stradale",66.92,"https://www.youtube.com/watch?v=TM5w418oTh4","1/04/2019",0.2,185484,18609,150,"https://i.ytimg.com/vi/TM5w418oTh4/maxresdefault.jpg","29/08/2020"
"Opala Old Stock",67.415,"https://www.youtube.com/watch?v=oojhh_ZaU5s","27/08/2018",0.2,262758,28192,110,"https://i.ytimg.com/vi/oojhh_ZaU5s/maxresdefault.jpg","29/08/2020"
"BMW M4 “Calanguejo”",67.515,"https://www.youtube.com/watch?v=Y1UCe-BRLWg","30/07/2018",0.25,542886,31900,214,"https://i.ytimg.com/vi/Y1UCe-BRLWg/maxresdefault.jpg","29/08/2020"
"Gol GLR",70.948,"https://www.youtube.com/watch?v=WxW3GAvHWPY","11/05/2015",0.2,795569,22676,196,"https://i.ytimg.com/vi/WxW3GAvHWPY/maxresdefault.jpg","29/08/2020"
"Volkswagen Polo TSI Stradale",71.144,"https://www.youtube.com/watch?v=RGRd38cnN9c","29/10/2018",0.2,358164,23976,96,"https://i.ytimg.com/vi/RGRd38cnN9c/maxresdefault.jpg","29/08/2020"
"Volkswagen Up TSI Armada",71.432,"https://www.youtube.com/watch?v=1V8vUQ7P1jw","24/12/2018",0.2,318699,20638,192,"https://i.ytimg.com/vi/1V8vUQ7P1jw/maxresdefault.jpg","29/08/2020"
"Fórmula SAE MR17",73.516,"https://www.youtube.com/watch?v=79S0_Zjj63I","5/11/2018",0.2,175438,15224,238,"https://i.ytimg.com/vi/79S0_Zjj63I/maxresdefault.jpg","29/08/2020"
"Fórmula SAE MR17",73.516,"https://www.youtube.com/watch?v=79S0_Zjj63I","5/11/2018",0.5,175438,15224,238,"https://i.ytimg.com/vi/79S0_Zjj63I/maxresdefault.jpg","29/08/2020"
"VW Golf GTi 1994 Reloaded",74.943,"https://www.youtube.com/watch?v=8uTCsrjEVec","29/04/2019",0.2,158617,16865,118,"https://i.ytimg.com/vi/8uTCsrjEVec/maxresdefault.jpg","29/08/2020"
"Ford Mustang Eleanor 1968",75.566,"https://www.youtube.com/watch?v=bPkfmdyNXsU","16/01/2017",0.2,928388,36061,315,"https://i.ytimg.com/vi/bPkfmdyNXsU/maxresdefault.jpg","29/08/2020"
"AceleCarro (Peugeot 306 Rallye 2001)",76.943,"https://www.youtube.com/watch?v=ynHST4IckCw","11/12/2017",0.2,162909,20928,129,"https://i.ytimg.com/vi/ynHST4IckCw/maxresdefault.jpg","29/08/2020"
"Ford Escort “Cosworth”",78.694,"https://www.youtube.com/watch?v=IpZ7tvv58YU","9/10/2017",0.2,297794,19389,238,"https://i.ytimg.com/vi/IpZ7tvv58YU/maxresdefault.jpg","29/08/2020"
"VW Kombi Last Edition (preparado)",90.253,"https://www.youtube.com/watch?v=qyrJOH0QH5E","26/10/2015",0.2,615435,19170,224,"https://i.ytimg.com/vi/qyrJOH0QH5E/maxresdefault.jpg","29/08/2020"
"Delorean DMC-12",107.54,"https://www.youtube.com/watch?v=qyrJOH0QH5E","26/10/2015",0.2,615435,19170,224,"https://i.ytimg.com/vi/qyrJOH0QH5E/maxresdefault.jpg","29/08/2020"
